date,total,pnl,cash,set_aside,btc_holding,btc_price,eth_holding,eth_price
2018-01-10,21331.782676756244,0.0,21331.782676756244,0.0,0.0,14929.39,0,1251.81
2018-01-11,21331.782676756244,0.0,21331.782676756244,0.0,0.0,13301.77,0,1139.0
2018-01-12,21331.782676756244,0.0,21331.782676756244,0.0,0.0,13815.26,0,1259.74
2018-01-13,21331.782676756244,0.0,21331.782676756244,0.0,0.0,14174.38,0,1381.81
2018-01-14,21331.782676756244,0.0,21331.782676756244,0.0,0.0,13626.27,0,1360.53
2018-01-15,21331.782676756244,0.0,21331.782676756244,0.0,0.0,13597.6,0,1274.09
2018-01-16,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11399.01,0,1065.01
2018-01-17,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11240.19,0,1026.6
2018-01-18,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11298.0,0,1024.11
2018-01-19,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11535.56,0,1039.82
2018-01-20,21331.782676756244,0.0,21331.782676756244,0.0,0.0,12744.98,0,1149.68
2018-01-21,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11501.0,0,1049.92
2018-01-22,21331.782676756244,0.0,21331.782676756244,0.0,0.0,10780.0,0,998.0
2018-01-23,21331.782676756244,0.0,21331.782676756244,0.0,0.0,10820.81,0,986.19
2018-01-24,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11346.58,0,1060.0
2018-01-25,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11114.0,0,1044.0
2018-01-26,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11091.99,0,1048.0
2018-01-27,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11372.85,0,1106.0
2018-01-28,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11633.11,0,1223.6
2018-01-29,21331.782676756244,0.0,21331.782676756244,0.0,0.0,11135.34,0,1165.0
2018-01-30,21331.782676756244,0.0,21331.782676756244,0.0,0.0,10007.42,0,1052.95
2018-01-31,21331.782676756244,0.0,21331.782676756244,0.0,0.0,10112.6,0,1101.69
2018-02-01,21331.782676756244,0.0,21331.782676756244,0.0,0.0,9000.73,0,1021.9
2018-02-02,21331.782676756244,0.0,21331.782676756244,0.0,0.0,8845.07,0,914.12
2018-02-03,21331.782676756244,0.0,21331.782676756244,0.0,0.0,9221.14,0,970.0
2018-02-04,21331.782676756244,0.0,21331.782676756244,0.0,0.0,8162.94,0,823.53
2018-02-05,21331.782676756244,0.0,21331.782676756244,0.0,0.0,6892.67,0,692.32
2018-02-06,21331.782676756244,0.0,21331.782676756244,0.0,0.0,7682.75,0,785.01
2018-02-07,21331.782676756244,0.0,21331.782676756244,0.0,0.0,7582.76,0,750.91
2018-02-08,21331.782676756244,0.0,21331.782676756244,0.0,0.0,8200.0,0,812.64
2018-02-09,21331.782676756244,0.0,0.0,0.0,2.4525548676508535,8697.78,0,879.49
2018-02-10,20977.928060451577,-353.8546163046667,0.0,0.0,2.4525548676508535,8553.5,0,852.0
2018-02-11,19801.682745926224,-1176.245314525353,0.0,0.0,2.4525548676508535,8073.9,0,812.56
2018-02-12,21827.738322092595,2026.0555761663709,0.0,0.0,2.4525548676508535,8900.0,0,866.27
2018-02-13,20893.486596358354,-934.2517257342406,0.0,0.0,2.4525548676508535,8519.07,0,840.58
2018-02-14,23250.882335144357,2357.3957387860028,0.0,0.0,2.4525548676508535,9480.27,0,920.81
2018-02-15,24567.683569134777,1316.8012339904199,0.0,0.0,2.4525548676508535,10017.18,0,927.97
2018-02-16,24975.91132685526,408.2277577204841,0.0,0.0,2.4525548676508535,10183.63,0,937.7
2018-02-17,27223.359030924476,2247.4477040692145,0.0,0.0,2.4525548676508535,11100.0,0,976.98
2018-02-18,25513.90376262315,-1709.4552683013244,0.0,0.0,2.4525548676508535,10402.99,0,915.81
2018-02-19,27387.48400266767,1873.5802400445173,0.0,0.0,2.4525548676508535,11166.92,0,939.6
2018-02-20,27483.869408966348,96.3854062986793,0.0,0.0,2.4525548676508535,11206.22,0,885.22
2018-02-21,25690.512238642692,-1793.3571703236557,0.0,0.0,2.4525548676508535,10475.0,0,840.01
2018-02-22,24108.516246813182,-1581.9959918295099,0.0,0.0,2.4525548676508535,9829.96,0,803.9
2018-02-23,24921.93059421827,813.414347405087,24921.93059421827,0.0,0.0,10161.62,0,856.58
2018-02-24,24921.93059421827,0.0,24921.93059421827,0.0,0.0,9697.21,0,833.09
2018-02-25,24921.93059421827,0.0,24921.93059421827,0.0,0.0,9595.0,0,840.86
2018-02-26,24921.93059421827,0.0,24921.93059421827,0.0,0.0,10300.0,0,866.45
2018-02-27,24921.93059421827,0.0,24921.93059421827,0.0,0.0,10562.46,0,871.31
2018-02-28,24921.93059421827,0.0,24921.93059421827,0.0,0.0,10296.86,0,849.81
2018-03-01,24921.93059421827,0.0,24921.93059421827,0.0,0.0,10900.95,0,868.75
2018-03-02,24921.93059421827,0.0,24921.93059421827,0.0,0.0,11027.77,0,855.3
2018-03-03,24921.93059421827,0.0,24921.93059421827,0.0,0.0,11433.72,0,854.6
2018-03-04,24921.93059421827,0.0,24921.93059421827,0.0,0.0,11467.19,0,862.9
2018-03-05,24921.93059421827,0.0,24921.93059421827,0.0,0.0,11400.01,0,848.03
2018-03-06,24921.93059421827,0.0,24921.93059421827,0.0,0.0,10696.87,0,813.12
2018-03-07,24921.93059421827,0.0,24921.93059421827,0.0,0.0,9884.26,0,749.73
2018-03-08,24921.93059421827,0.0,24921.93059421827,0.0,0.0,9295.77,0,696.99
2018-03-09,24921.93059421827,0.0,24921.93059421827,0.0,0.0,9257.0,0,727.0
2018-03-10,24921.93059421827,0.0,24921.93059421827,0.0,0.0,8769.2,0,682.57
2018-03-11,24921.93059421827,0.0,24921.93059421827,0.0,0.0,9530.94,0,720.2
2018-03-12,24921.93059421827,0.0,24921.93059421827,0.0,0.0,9110.39,0,697.28
2018-03-13,24921.93059421827,0.0,24921.93059421827,0.0,0.0,9146.52,0,690.34
2018-03-14,24921.93059421827,0.0,24921.93059421827,0.0,0.0,8198.82,0,613.42
2018-03-15,24921.93059421827,0.0,24921.93059421827,0.0,0.0,8265.03,0,611.24
2018-03-16,24921.93059421827,0.0,24921.93059421827,0.0,0.0,8265.81,0,601.38
2018-03-17,24921.93059421827,0.0,24921.93059421827,0.0,0.0,7870.99,0,550.0
2018-03-18,24921.93059421827,0.0,24921.93059421827,0.0,0.0,8197.29,0,538.2
2018-03-19,24921.93059421827,0.0,24921.93059421827,0.0,0.0,8599.01,0,555.11
2018-03-20,24921.93059421827,0.0,24921.93059421827,0.0,0.0,8904.23,0,558.09
2018-03-21,24921.93059421827,0.0,0.0,0.0,2.7994211301976257,8902.53,0,560.21
2018-03-22,24384.189789318607,-537.7408048996622,0.0,0.0,2.7994211301976257,8710.44,0,539.49
2018-03-23,24984.83358701381,600.6437976952038,0.0,0.0,2.7994211301976257,8925.0,0,543.0
2018-03-24,23907.980260860688,-1076.853326153123,0.0,0.0,2.7994211301976257,8540.33,0,519.86
2018-03-25,23674.81647492653,-233.1637859341572,0.0,0.0,2.7994211301976257,8457.04,0,522.57
2018-03-26,22813.714535277737,-861.1019396487936,0.0,0.0,2.7994211301976257,8149.44,0,486.22
2018-03-27,21819.86404563498,-993.8504896427585,0.0,0.0,2.7994211301976257,7794.42,0,449.77
2018-03-28,22232.638691282616,412.77464564763795,0.0,0.0,2.7994211301976257,7941.87,0,445.52
2018-03-29,19838.377781258496,-2394.2609100241207,19838.377781258496,0.0,0.0,7086.6,0,382.42
2018-03-30,19838.377781258496,0.0,19838.377781258496,0.0,0.0,6838.71,0,393.81
2018-03-31,19838.377781258496,0.0,19838.377781258496,0.0,0.0,6921.27,0,393.84
2018-04-01,19838.377781258496,0.0,19838.377781258496,0.0,0.0,6811.02,0,378.55
2018-04-02,19838.377781258496,0.0,19838.377781258496,0.0,0.0,7049.99,0,384.94
2018-04-03,19838.377781258496,0.0,19838.377781258496,0.0,0.0,7418.53,0,415.49
2018-04-04,19838.377781258496,0.0,19838.377781258496,0.0,0.0,6794.31,0,378.05
2018-04-05,19838.377781258496,0.0,19838.377781258496,0.0,0.0,6777.0,0,380.99
2018-04-06,19838.377781258496,0.0,19838.377781258496,0.0,0.0,6592.94,0,370.2
2018-04-07,19838.377781258496,0.0,19838.377781258496,0.0,0.0,6895.99,0,384.92
2018-04-08,19838.377781258496,0.0,19838.377781258496,0.0,0.0,7022.72,0,400.94
2018-04-09,19838.377781258496,0.0,19838.377781258496,0.0,0.0,6771.01,0,398.88
2018-04-10,19838.377781258496,0.0,19838.377781258496,0.0,0.0,6830.68,0,415.0
2018-04-11,19838.377781258496,0.0,19838.377781258496,0.0,0.0,6939.43,0,429.98
2018-04-12,19838.377781258496,0.0,19838.377781258496,0.0,0.0,7920.39,0,494.14
2018-04-13,19838.377781258496,0.0,0.0,0.0,2.5188584195992476,7875.94,0,495.2
2018-04-14,20146.005960044153,307.6281787856569,0.0,0.0,2.5188584195992476,7998.07,0,502.21
2018-04-15,21051.18292171134,905.1769616671882,0.0,0.0,2.5188584195992476,8357.43,0,534.0
2018-04-16,20282.528086386435,-768.6548353249054,0.0,0.0,2.5188584195992476,8052.27,0,511.49
2018-04-17,19874.548588163943,-407.9794982224921,0.0,0.0,2.5188584195992476,7890.3,0,502.68
2018-04-18,20571.516712867055,696.9681247031112,0.0,0.0,2.5188584195992476,8167.0,0,525.26
2018-04-19,20829.195929192058,257.6792163250029,0.0,0.0,2.5188584195992476,8269.3,0,566.26
2018-04-20,22284.516758283913,1455.3208290918556,0.0,0.0,2.5188584195992476,8847.07,0,617.01
2018-04-21,22468.21710282529,183.70034454137567,0.0,0.0,2.5188584195992476,8920.0,0,605.76
2018-04-22,22165.954092473377,-302.26301035191136,0.0,0.0,2.5188584195992476,8800.0,0,621.26
2018-04-23,22500.962262280078,335.0081698067006,0.0,0.0,2.5188584195992476,8933.0,0,643.0
2018-04-24,24306.958560548544,1805.9962982684665,0.0,0.0,2.5188584195992476,9649.99,0,703.72
2018-04-25,22329.705078331528,-1977.2534822170164,0.0,0.0,2.5188584195992476,8865.01,0,617.5
2018-04-26,23377.399049379637,1047.6939710481092,0.0,0.0,2.5188584195992476,9280.95,0,661.08
2018-04-27,22483.330253342883,-894.0687960367541,0.0,0.0,2.5188584195992476,8926.0,0,643.09
2018-04-28,23535.78486680404,1052.4546134611555,0.0,0.0,2.5188584195992476,9343.83,0,682.85
2018-04-29,23660.367604237417,124.5827374333785,0.0,0.0,2.5188584195992476,9393.29,0,689.69
2018-04-30,23285.28439697489,-375.08320726252714,0.0,0.0,2.5188584195992476,9244.38,0,669.58
2018-05-01,22820.454264222048,-464.8301327528425,0.0,0.0,2.5188584195992476,9059.84,0,669.5
2018-05-02,23202.96810382239,382.5138396003422,0.0,0.0,2.5188584195992476,9211.7,0,685.07
2018-05-03,24502.19527665168,1299.2271728292908,0.0,0.0,2.5188584195992476,9727.5,0,774.98
2018-05-04,24411.18892195156,-91.00635470011912,0.0,0.0,2.5188584195992476,9691.37,0,781.28
2018-05-05,24717.07908842769,305.8901664761288,0.0,0.0,2.5188584195992476,9812.81,0,815.15
2018-05-06,24180.738565142423,-536.3405232852674,0.0,0.0,2.5188584195992476,9599.88,0,785.76
2018-05-07,23581.45176995137,-599.2867951910521,0.0,0.0,2.5188584195992476,9361.96,0,751.28
2018-05-08,23126.697070876926,-454.75469907444494,0.0,0.0,2.5188584195992476,9181.42,0,747.29
2018-05-09,23446.66765591862,319.970585041694,0.0,0.0,2.5188584195992476,9308.45,0,750.82
2018-05-10,22714.00730740978,-732.6603485088381,0.0,0.0,2.5188584195992476,9017.58,0,722.95
2018-05-11,21154.481305499106,-1559.5260019106754,0.0,0.0,2.5188584195992476,8398.44,0,677.32
2018-05-12,21325.436226437305,170.95492093819848,0.0,0.0,2.5188584195992476,8466.31,0,683.5
2018-05-13,21877.544803429264,552.1085769919591,0.0,0.0,2.5188584195992476,8685.5,0,729.3
2018-05-14,21870.567565606972,-6.9772378222914995,0.0,0.0,2.5188584195992476,8682.73,0,728.15
2018-05-15,21348.78604398699,-521.7815216199815,0.0,0.0,2.5188584195992476,8475.58,0,706.11
2018-05-16,21019.722380050545,-329.06366393644566,0.0,0.0,2.5188584195992476,8344.94,0,706.95
2018-05-17,20302.024050554133,-717.698329496412,0.0,0.0,2.5188584195992476,8060.01,0,668.8
