,asset_id,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,name,type_is_crypto
1202,BLAZR,2018-04-01,2018-04-01T02:47:48.2927808Z,2017-04-20T11:51:05.7730430Z,2018-04-01T02:54:47.3477066Z,2017-04-20T11:51:05.7730430Z,2017-04-20,7,9413.0,2018-04-01T00:23:05.0000000Z,2017-04-20T04:03:37.0000000Z,BlazerCoin,1
1203,MNTP,2018-04-01,2018-04-01T03:42:03.3285836Z,2017-12-12T21:50:28.5878764Z,2018-04-01T03:42:03.3285836Z,2017-12-12T21:50:28.5878764Z,2017-12-12,6,9406.0,2018-03-31T19:28:04.0000000Z,2017-12-12T17:44:25.0000000Z,GoldMint,1
1204,ARY,2018-04-01,2018-04-01T01:37:38.4143148Z,2018-02-28T00:18:38.9460000Z,2018-04-01T01:37:38.4143148Z,2018-02-28T00:18:38.9460000Z,2018-02-27,2,9380.0,2018-04-01T01:32:42.0000000Z,2018-02-27T23:55:10.0000000Z,Peso,0
1205,NTCC,2017-09-20,2017-09-20T18:27:49.2854812Z,2017-03-14T20:08:25.0458822Z,2017-09-20T18:04:23.4559454Z,2017-03-14T20:08:25.0458822Z,2017-01-25,4,9378.0,2017-09-19T15:05:10.0000000Z,2017-01-25T04:35:23.0000000Z,Neptune Classic,1
1206,THS,2018-04-01,2018-04-01T02:01:24.5774833Z,2017-12-28T21:44:07.1189827Z,2018-04-01T02:01:24.5774833Z,2017-12-28T21:44:07.1189827Z,2017-12-28,5,9302.0,2018-04-01T01:14:24.0000000Z,2017-12-28T21:11:35.0000000Z,TechShares,1
1207,AI,2018-04-01,2018-04-01T00:12:52.8550000Z,2017-11-20T08:20:16.1764425Z,2018-03-31T23:15:30.0269254Z,2017-11-20T08:20:16.1764425Z,2017-11-20,7,9219.0,2018-03-31T18:56:01.0000000Z,2017-11-26T03:50:30.0000000Z,POLY AI,1
1208,BCAP,2018-04-01,2018-04-01T01:49:54.2538890Z,2017-09-21T13:47:12.0275357Z,2018-03-26T00:15:51.3332625Z,2017-09-21T13:47:12.0275357Z,2017-09-21,3,9200.0,2017-10-04T09:44:38.0000000Z,2017-09-21T00:06:08.0000000Z,BCAP,1
1209,MVC,2018-04-01,2018-04-01T03:19:13.6264983Z,2017-03-14T20:10:55.0707202Z,2018-04-01T03:19:13.6264983Z,2017-03-14T20:10:55.0707202Z,2017-03-14,7,9145.0,2018-03-31T21:26:09.0000000Z,2017-03-17T07:14:44.0000000Z,Maverick Chain,1
1210,SHDW,2018-04-01,2018-04-01T04:07:20.4515012Z,2017-08-29T11:22:23.1189031Z,2018-04-01T04:07:20.4515012Z,2017-08-29T11:22:23.1189031Z,2017-08-26,6,9140.0,2018-04-01T03:52:22.0000000Z,2017-08-26T17:18:16.0000000Z,Shadow Token,1
1211,MCI,2018-04-01,2018-04-01T00:41:33.1903373Z,2017-09-27T23:12:17.0947001Z,2018-04-01T00:54:41.6282935Z,2017-09-27T23:12:17.0947001Z,2017-09-27,3,9113.0,2018-03-31T21:06:03.0000000Z,2017-10-01T14:04:50.0000000Z,Musiconomi,1
1212,XNG,2018-04-01,2018-04-01T04:30:57.0389807Z,2017-03-19T02:15:14.4774083Z,2018-04-01T04:19:50.6903366Z,2017-03-19T02:15:14.4774083Z,2017-02-25,6,9071.0,2018-03-31T23:33:49.0000000Z,2017-02-25T08:12:09.0000000Z,Enigma,1
1213,TALK,2018-04-01,2018-04-01T04:03:15.2112764Z,2017-03-18T23:03:39.8856730Z,2018-04-01T03:54:25.5726498Z,2017-03-18T23:03:39.8856730Z,2017-02-22,6,9043.0,2018-03-31T21:31:42.0000000Z,2017-02-22T16:20:51.0000000Z,BTCtalkcoin,1
1214,BSTAR,2018-04-01,2018-04-01T02:27:54.4479508Z,2017-03-19T00:03:35.7125195Z,2018-04-01T02:27:54.4479508Z,2017-03-19T00:03:35.7125195Z,2017-03-02,6,8976.0,2018-03-31T20:36:15.0000000Z,2017-03-02T18:16:56.0000000Z,Blackstar,1
1215,BXT,2018-04-01,2018-04-01T02:55:10.3501752Z,2017-03-19T00:15:48.8921776Z,2018-04-01T02:55:10.3501752Z,2017-03-19T00:15:48.8921776Z,2017-03-12,7,8976.0,2018-03-31T22:31:47.0000000Z,2017-03-12T19:23:52.0000000Z,BitTokens,1
1216,TH1,2014-12-15,2014-12-15T12:28:59.9000000Z,2014-09-16T23:12:26.6430000Z,2014-12-15T13:48:00.9700000Z,2014-09-16T23:12:14.4300000Z,2014-09-16,1,8974.0,2014-12-15T11:52:45.0000000Z,2014-09-16T23:14:37.0000000Z,TH1 Contract,1
1217,SCS,2018-04-01,2018-04-01T03:48:15.5166703Z,2017-04-20T11:06:39.5021433Z,2018-04-01T03:48:15.5166703Z,2017-04-20T11:06:39.5021433Z,2017-04-18,6,8954.0,2018-04-01T03:47:57.0000000Z,2017-04-18T03:58:26.0000000Z,Speedcash,1
1218,DGCS,2018-04-01,2018-04-01T03:08:47.9452277Z,2017-03-19T01:15:17.6888092Z,2018-04-01T03:08:47.9452277Z,2017-03-19T01:15:17.6888092Z,2017-02-03,6,8944.0,2018-04-01T01:45:39.0000000Z,2017-02-03T17:54:29.0000000Z,Digital Credits,1
1219,PX,2018-04-01,2018-04-01T04:01:09.2084274Z,2017-03-19T00:17:48.8868624Z,2018-04-01T04:01:09.2084274Z,2017-03-19T00:17:48.8868624Z,2017-03-02,6,8944.0,2018-03-31T08:28:19.0000000Z,2017-03-02T11:42:03.0000000Z,PX,1
1220,SDP,2018-04-01,2018-04-01T02:14:30.2605552Z,2017-03-19T01:27:18.1402328Z,2018-04-01T02:14:30.2605552Z,2017-03-19T01:27:18.1402328Z,2017-02-05,6,8916.0,2018-03-29T21:50:58.0000000Z,2017-02-05T11:54:36.0000000Z,Sudanese Pound,0
1221,RGC,2018-04-01,2018-04-01T02:22:50.5110000Z,2017-10-09T07:59:34.6138851Z,2018-04-01T01:03:01.6570000Z,2017-10-09T07:59:34.6138851Z,2017-10-09,6,8912.0,2018-03-31T23:30:07.0000000Z,2017-10-12T07:47:23.0000000Z,RG Coin,1
1222,STAR,2018-04-01,2018-04-01T03:20:55.7651136Z,2017-03-19T00:14:48.9786901Z,2018-04-01T03:20:55.7651136Z,2017-03-19T00:14:48.9786901Z,2016-12-15,10,8752.0,2018-03-31T23:59:22.0000000Z,2016-12-15T17:14:44.0000000Z,Starbase,1
1223,HODL,2018-04-01,2018-04-01T01:59:48.1201584Z,2017-03-18T23:49:57.7458289Z,2018-04-01T01:59:48.1201584Z,2017-03-18T23:49:57.7458289Z,2017-03-07,7,8720.0,2018-03-31T13:12:47.0000000Z,2017-03-07T21:07:08.0000000Z,HOdlcoin,1
1224,GRE,2018-04-01,2018-04-01T02:38:38.9632703Z,2017-03-18T23:29:52.7328404Z,2018-04-01T02:38:38.9632703Z,2017-03-18T23:29:52.7328404Z,2017-03-05,7,8713.0,2018-04-01T00:30:46.0000000Z,2017-03-05T20:45:59.0000000Z,Greencoin,1
1225,LUNA,2018-04-01,2018-04-01T03:38:20.8114634Z,2017-03-18T23:59:22.1029022Z,2018-04-01T03:38:20.8114634Z,2017-03-18T23:59:22.1029022Z,2017-03-18,8,8681.0,2018-03-31T23:19:35.0000000Z,2017-03-18T04:59:08.0000000Z,Luna Coin,1
1226,CONX,2018-04-01,2018-04-01T03:02:22.1650407Z,2017-04-20T12:23:55.5925905Z,2018-04-01T03:02:22.1650407Z,2017-04-20T12:23:55.5925905Z,2017-04-20,6,8581.0,2018-03-31T17:01:13.0000000Z,2017-04-20T03:32:48.0000000Z,Concoin,1
1227,PLNC,2018-04-01,2018-04-01T03:50:37.0571117Z,2017-03-18T23:21:30.1193538Z,2018-04-01T03:20:58.7889859Z,2017-03-18T23:21:30.1193538Z,2017-03-04,6,8563.0,2018-03-31T23:48:07.0000000Z,2017-03-04T05:48:03.0000000Z,PLNcoin,1
1228,ING,2018-04-01,2018-04-01T03:19:17.9086766Z,2018-02-28T01:02:57.4700000Z,2018-04-01T03:19:17.9086766Z,2018-02-28T01:02:57.4700000Z,2018-02-28,8,8538.0,2018-04-01T00:06:09.0000000Z,2018-02-28T00:29:45.0000000Z,Iungo,1
1229,ALTC,2018-04-01,2018-04-01T02:34:07.3106503Z,2017-03-18T23:34:28.5176981Z,2018-04-01T02:34:07.3106503Z,2017-03-18T23:34:28.5176981Z,2017-02-15,7,8456.0,2018-03-31T12:26:21.0000000Z,2017-02-15T04:38:57.0000000Z,Antilitecoin,1
1230,GSR,2018-04-01,2018-04-01T03:06:10.7711417Z,2017-08-01T05:13:39.3195839Z,2018-04-01T03:06:10.7711417Z,2017-08-01T05:13:39.3195839Z,2017-08-01,6,8391.0,2018-03-31T13:08:36.0000000Z,2017-08-12T15:47:51.0000000Z,GeyserCoin,1
1231,KLC,2018-04-01,2018-04-01T00:12:19.3054523Z,2017-03-14T20:14:31.6524126Z,2018-03-31T23:47:32.6026195Z,2017-03-14T20:14:31.6524126Z,2016-02-27,5,8354.0,2018-03-31T08:03:10.0000000Z,2016-02-27T03:57:48.0000000Z,KiloCoin,1
1232,DESH,2018-02-15,2018-02-15T08:50:33.7322972Z,2017-04-06T20:17:40.7168911Z,2018-02-15T05:39:08.3138720Z,2017-04-06T20:17:40.7168911Z,2017-04-06,4,8312.0,2018-02-15T04:35:35.0000000Z,2017-04-07T06:50:01.0000000Z,DeshCoin,1
1233,BIOS,2018-04-01,2018-04-01T02:43:21.7354093Z,2017-03-14T20:14:49.8784443Z,2018-04-01T02:43:21.7354093Z,2017-03-14T20:14:49.8784443Z,2016-04-16,10,8170.0,2018-03-31T01:23:27.0000000Z,2016-04-16T03:45:37.0000000Z,BiosCrypto,1
1234,FOOT,2018-04-01,2018-04-01T00:10:28.6650000Z,2017-03-18T22:58:26.9966690Z,2018-03-29T23:23:16.9790000Z,2017-03-18T22:58:26.9966690Z,2016-03-24,5,8166.0,2017-08-02T23:11:56.0000000Z,2016-03-24T01:06:29.0000000Z,Footy Cash,1
1235,CRED,2018-04-01,2018-04-01T03:00:15.1918151Z,2017-12-30T02:46:48.3538700Z,2018-04-01T03:00:15.1918151Z,2017-12-30T02:46:48.3538700Z,2017-12-29,6,8108.0,2018-03-31T17:01:41.0000000Z,2017-12-29T14:44:43.0000000Z,Verify,1
