,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
150,1027.53,1109.58,761.61,1057.88,2018-01-17T23:59:59.0000000Z,2018-01-17T00:00:00.0000000Z,2018-01-18T00:00:00.0000000Z,2018-01-17T00:00:00.0000000Z,73911,175340.617570448,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
151,1024.69,1105.0,951.12,1029.22,2018-01-18T23:59:59.0000000Z,2018-01-18T00:00:00.0000000Z,2018-01-19T00:00:00.0000000Z,2018-01-18T00:00:00.0000000Z,44303,95159.541716658,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
152,1036.03,1095.0,995.01,1024.66,2018-01-19T23:59:43.0000000Z,2018-01-19T00:00:02.0000000Z,2018-01-20T00:00:00.0000000Z,2018-01-19T00:00:00.0000000Z,24353,49234.063573641,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
153,1150.0,1171.0,1036.03,1039.83,2018-01-20T23:59:08.0000000Z,2018-01-20T00:00:03.0000000Z,2018-01-21T00:00:00.0000000Z,2018-01-20T00:00:00.0000000Z,14905,31692.251271059,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
154,1049.09,1151.0,1008.0,1149.99,2018-01-21T23:59:17.0000000Z,2018-01-21T00:00:03.0000000Z,2018-01-22T00:00:00.0000000Z,2018-01-21T00:00:00.0000000Z,16806,36797.029037558,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
155,997.21,1092.0,917.0,1052.35,2018-01-22T23:59:22.0000000Z,2018-01-22T00:00:03.0000000Z,2018-01-23T00:00:00.0000000Z,2018-01-22T00:00:00.0000000Z,22856,47688.353926015,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
156,983.7,1024.98,905.0,999.29,2018-01-23T23:59:36.0000000Z,2018-01-23T00:00:03.0000000Z,2018-01-24T00:00:00.0000000Z,2018-01-23T00:00:00.0000000Z,22737,60938.790209889,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
157,1065.0,1069.65,957.69,987.56,2018-01-24T23:59:51.0000000Z,2018-01-24T00:00:08.0000000Z,2018-01-25T00:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,14321,43913.685071172,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
158,1050.0,1105.0,1014.48,1063.0,2018-01-25T23:59:52.0000000Z,2018-01-25T00:00:03.0000000Z,2018-01-26T00:00:00.0000000Z,2018-01-25T00:00:00.0000000Z,20560,62008.336637569,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
159,1051.81,1075.9,984.0,1049.92,2018-01-26T23:58:28.0000000Z,2018-01-26T00:00:07.0000000Z,2018-01-27T00:00:00.0000000Z,2018-01-26T00:00:00.0000000Z,13969,38654.655766122,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
160,1115.51,1126.01,1034.45,1051.92,2018-01-27T23:59:38.0000000Z,2018-01-27T00:00:03.0000000Z,2018-01-28T00:00:00.0000000Z,2018-01-27T00:00:00.0000000Z,11725,29079.398634413,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
