,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
28,2018-04-09,2018-04-09T01:49:01.3535450Z,2017-03-18T22:53:39.4192811Z,2018-04-09T01:48:59.3471133Z,2017-03-18T22:53:39.4192811Z,2013-09-03,4,14253548.0,2018-04-09T01:48:55.4130000Z,2013-09-03T06:31:37.0000000Z,KORBIT,Korbit,https://www.korbit.co.kr
29,2018-04-09,2018-04-09T03:39:55.6199220Z,2017-12-28T21:49:04.6063124Z,2018-04-09T03:39:55.6199220Z,2017-12-28T21:49:04.6063124Z,2017-12-28,280,11841720.0,2018-04-09T03:37:34.0000000Z,2017-12-28T17:33:30.0000000Z,GATEIO,Gate.io,https://gate.io/
30,2018-04-09,2018-04-09T01:49:00.2518067Z,2017-03-18T22:53:36.0065489Z,2018-04-05T16:18:33.4404942Z,2017-03-18T22:53:36.0065489Z,2014-12-31,25,11700374.0,2017-09-07T12:19:20.0000000Z,2014-12-31T12:12:00.0000000Z,JUBI,Jubi,https://www.jubi.com
31,2018-04-08,2018-04-08T23:21:51.0332326Z,2017-03-14T20:04:08.1113853Z,2018-04-08T23:21:51.0332326Z,2017-03-14T20:04:08.1113853Z,2015-09-25,57,11185270.0,2018-04-08T23:21:22.0000000Z,2015-09-25T12:34:25.0000000Z,BITMEX,BitMEX,https://www.bitmex.com/
32,2018-01-09,2018-01-09T06:32:05.4469390Z,2017-03-18T22:53:45.3558927Z,2018-01-09T00:02:43.5604799Z,2017-03-18T22:53:45.3558927Z,2017-03-16,50,10737203.0,2017-10-31T03:58:21.0000000Z,2017-03-16T13:30:42.0000000Z,BTC38,BTC38,http://www.btc38.com
33,2014-02-25,,,,,2010-07-17,15,10050212.0,2014-02-25T01:59:06.0000000Z,2010-07-17T23:09:17.0000000Z,MTGOX,mtgox,https://www.mtgox.com/
34,2018-04-09,2018-04-09T02:20:06.1968281Z,2017-12-24T13:03:42.9064646Z,2018-04-09T02:21:22.0329755Z,2017-12-24T13:03:42.9064646Z,2017-12-24,41,9650084.0,2018-04-09T02:19:39.0000000Z,2017-12-24T06:47:19.0000000Z,WEXNZ,WexNz,https://wex.nz/
35,2018-04-09,2018-04-09T01:52:02.9520000Z,2018-01-24T00:22:08.7776711Z,2018-04-09T01:52:08.9500000Z,2018-01-24T00:22:08.7776711Z,2018-01-24,275,8817426.0,2018-04-09T01:51:12.0000000Z,2018-01-24T15:12:15.0000000Z,KUCOIN,Kucoin,https://kucoin.com/
36,2018-04-09,2018-04-09T01:52:53.5975005Z,2017-03-18T22:53:40.7300076Z,2018-04-09T01:53:03.5880424Z,2017-03-18T22:53:40.7300076Z,2014-03-01,10,8318865.0,2017-09-07T12:18:53.0000000Z,2014-03-01T12:01:39.0000000Z,LAKEBTC,LakeBTC,https://www.lakebtc.com/
37,2018-04-08,2018-04-08T23:43:35.3083958Z,2017-03-14T20:04:25.7449674Z,2018-04-08T23:43:55.9681097Z,2017-03-14T20:04:25.7449674Z,2017-02-16,204,7816990.0,2018-04-08T23:31:30.0000000Z,2017-02-16T20:09:59.0000000Z,BLEUTRADE,Bleutrade,https://bleutrade.com
38,2018-04-08,2018-04-08T23:07:00.2345679Z,2018-01-05T15:56:05.6259966Z,2018-04-08T23:12:50.8757693Z,2018-01-05T15:56:05.6259966Z,2018-01-05,17,6306826.0,2018-04-08T23:12:56.0000000Z,2018-01-05T15:51:29.0000000Z,BITCOINID,Indodax,https://indodax.com/
39,2018-04-09,2018-04-09T02:13:02.4727280Z,2017-08-29T15:53:54.7372595Z,2018-04-09T02:12:59.4404273Z,2017-08-29T15:53:54.7372595Z,2017-05-22,103,6119590.0,2018-04-09T02:12:31.0000000Z,2017-05-22T18:21:41.0000000Z,QUOINE,QRYPTOS,https://www.qryptos.com/
40,2018-04-08,2018-04-08T23:02:27.3020579Z,2017-09-21T13:50:21.9301963Z,2018-04-08T23:05:05.0506319Z,2017-09-21T13:50:21.9301963Z,2017-09-13,12,5007638.0,2018-04-08T23:03:53.0000000Z,2017-09-13T10:58:32.0000000Z,ACX,ACX,https://acx.io/
