,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
54,2018-03-31,2018-03-31T23:19:58.6874299Z,2017-08-29T15:47:10.0528025Z,2018-03-31T23:20:42.0059200Z,2017-08-29T15:47:10.0528025Z,2011-04-05,4,1926274.0,2018-03-31T23:13:26.0000000Z,2011-04-05T18:49:48.0000000Z,BITMARKET,BitMarket,https://www.bitmarket.pl
55,2018-04-01,2018-04-01T02:21:52.1900000Z,2018-01-24T00:21:42.1453690Z,2018-04-01T02:21:59.3520000Z,2018-01-24T00:21:42.1453690Z,2018-01-04,83,1866184.0,2018-04-01T02:21:57.0000000Z,2018-01-04T16:50:48.0000000Z,QRYPTOS,QRYPTOS,https://www.qryptos.com/
56,2018-04-01,2018-04-01T02:04:52.1153836Z,2017-12-28T21:44:47.2651267Z,2018-04-01T02:04:30.3188338Z,2017-12-28T21:44:47.2651267Z,2017-12-28,4,1732432.0,2018-04-01T02:03:54.2090000Z,2017-12-28T14:19:44.8820000Z,LUNO,Luno,https://www.luno.com
57,2018-03-31,2018-03-31T23:40:00.0150164Z,2017-12-28T21:38:26.3015015Z,2018-03-31T23:40:57.4860498Z,2017-12-28T21:38:26.3015015Z,2017-12-25,11,1686468.0,2018-03-31T23:39:48.0000000Z,2017-12-25T10:18:54.0000000Z,BTCMARKETS,BTC Markets Pty Ltd.,https://www.btcmarkets.net/
58,2018-04-01,2018-04-01T02:36:01.2827139Z,2017-03-14T20:05:23.8488070Z,2018-03-31T19:27:49.2989121Z,2017-03-14T20:05:23.8488070Z,2017-03-14,1,1438521.0,2018-03-31T18:22:57.0000000Z,2017-03-14T20:07:49.0000000Z,VAULTORO,Vaultoro,https://www.vaultoro.com/
59,2018-04-01,2018-04-01T01:18:57.0329895Z,2017-03-14T20:04:17.4937751Z,2018-04-01T01:18:19.7546361Z,2017-03-14T20:04:17.4937751Z,2017-03-14,9,1269233.0,2018-04-01T00:35:06.0000000Z,2017-03-14T22:00:23.0000000Z,GATECOIN,Gatecoin,https://gatecoin.com/
60,2018-04-01,2018-03-31T23:42:46.5118433Z,2017-03-18T22:53:45.5791610Z,2018-03-31T23:43:45.3189555Z,2017-03-18T22:53:45.5791610Z,2015-06-26,25,923550.0,2018-04-01T06:40:12.0000000Z,2015-06-26T11:19:16.0000000Z,BXINTH,bx.in.th,https://bx.in.th/
61,2018-03-31,2018-03-31T23:10:07.5780000Z,2018-01-24T00:42:46.1912329Z,2018-03-31T23:09:55.5050000Z,2018-01-24T00:42:46.1912329Z,2017-06-19,50,844233.0,2018-03-31T23:03:58.6200000Z,2017-06-19T05:31:08.2600000Z,ALLCOIN,Allcoin,https://www.allcoin.com/
62,2018-04-01,2018-04-01T00:19:01.3774948Z,2017-03-14T20:04:13.3389084Z,2018-04-01T00:19:04.6001944Z,2017-03-14T20:04:13.3389084Z,2017-03-14,2,773891.0,2018-04-01T00:18:21.8090000Z,2017-03-14T20:04:43.2020000Z,COINMATE,Coin Mate,https://coinmate.io/
63,2018-03-31,2018-03-31T23:40:00.8190000Z,2018-01-24T00:21:41.0728293Z,2018-03-31T23:40:59.2112957Z,2018-01-24T00:21:41.0728293Z,2018-01-24,1,741402.0,2018-03-31T23:40:37.0000000Z,2018-01-24T23:24:33.0000000Z,BTCBOX,BtcBox,https://www.btcbox.co.jp/
64,2018-04-01,2018-04-01T04:38:02.6328753Z,2017-09-21T13:39:33.4870179Z,2018-04-01T04:38:14.6328512Z,2017-09-21T13:39:33.4870179Z,2017-09-16,12,633990.0,2018-04-01T04:32:33.0000000Z,2017-09-16T00:53:48.0000000Z,INDEPENDENTRESERVE,Independent Reserve,https://www.independentreserve.com/
65,2018-03-31,2018-03-31T23:40:43.6895698Z,2017-12-24T13:03:38.2179565Z,2018-03-31T23:41:13.8657246Z,2017-12-24T13:03:38.2179565Z,2017-10-08,4,601629.0,2018-03-31T23:38:26.0000000Z,2017-10-08T01:12:04.0000000Z,BTCTURK,BTCTurk,https://www.btcturk.com/
66,2018-04-01,2018-04-01T00:19:00.8548404Z,2017-09-21T13:36:24.9479094Z,2018-04-01T00:19:03.7880720Z,2017-09-21T13:36:24.9479094Z,2017-09-19,4,534710.0,2018-04-01T00:10:46.0000000Z,2017-09-19T11:20:44.0000000Z,COINFLOOR,coinfloor,https://www.coinfloor.co.uk/
67,2018-04-01,2018-04-01T01:16:02.5226556Z,2017-08-29T15:50:33.5497414Z,2018-04-01T01:16:06.3365200Z,2017-08-29T15:50:33.5497414Z,2017-06-07,23,493869.0,2018-04-01T01:14:59.0000000Z,2017-06-07T04:46:35.0000000Z,DSX,DSX,https://dsx.uk
68,2018-04-01,2018-04-01T04:36:30.6047137Z,2017-12-28T21:34:28.8285993Z,2018-04-01T04:36:53.3904817Z,2017-12-28T21:34:28.8285993Z,2017-12-27,41,464648.0,2018-04-01T03:01:52.0000000Z,2017-12-27T12:49:47.0000000Z,ABUCOINS,Abucoins,https://abucoins.com/
69,2018-04-01,2018-04-01T02:29:03.4755763Z,2018-01-24T00:21:32.6002443Z,2018-04-01T02:29:19.7220000Z,2018-01-24T00:21:32.6002443Z,2017-11-29,144,303490.0,2018-04-01T02:26:08.0000000Z,2017-11-29T02:55:41.0000000Z,SOUTHXCHANGE,SouthXchange,https://www.southxchange.com/
70,2018-03-31,2018-03-31T23:40:04.7270000Z,2018-01-24T00:21:29.5498424Z,2018-03-31T23:37:39.3597580Z,2018-01-24T00:21:29.5498424Z,2018-01-24,17,278248.0,2018-03-31T23:07:15.0000000Z,2018-01-24T18:46:55.0000000Z,BTCTRADEUA,BTC Trade UA,https://btc-trade.com.ua/
71,2017-10-13,2017-10-13T11:04:36.2094926Z,2017-03-14T20:03:53.7061506Z,2017-10-13T11:04:34.3376757Z,2017-03-14T20:03:53.7061506Z,2016-03-27,2,204837.0,2017-10-13T10:45:09.0000000Z,2016-03-27T23:17:37.0000000Z,BTCX,bt.cx,https://bt.cx/en/
72,2018-04-01,2018-04-01T01:52:02.9340000Z,2018-01-24T00:21:49.7672137Z,2018-04-01T01:51:50.7340000Z,2018-01-24T00:21:49.7672137Z,2018-01-16,11,162276.0,2018-04-01T07:51:26.0000000Z,2018-01-16T08:05:06.0000000Z,KUNA,Kuna,https://kuna.io/
73,2018-03-31,2018-03-31T23:39:05.4924436Z,2018-01-24T00:21:43.7267644Z,2018-03-31T23:39:03.6730000Z,2018-01-24T00:21:43.7267644Z,2017-12-26,27,98184.0,2018-03-31T23:19:37.7440000Z,2017-12-26T11:45:54.9730000Z,BRAZILIEX,Braziliex,https://braziliex.com/
74,2018-04-01,2018-04-01T01:18:03.9700000Z,2018-01-24T00:21:35.8644461Z,2018-04-01T01:10:36.9170000Z,2018-01-24T00:21:35.8644461Z,2013-01-07,2,93930.0,2018-02-27T04:44:43.0000000Z,2013-01-07T06:17:04.0000000Z,FYBSG,FYB-SG,https://www.fybsg.com/
75,2018-03-09,2018-03-09T23:36:44.2694266Z,2017-03-14T20:04:56.4842821Z,2018-03-09T23:30:06.7432183Z,2017-03-14T20:04:56.4842821Z,2013-09-28,22,81930.0,2017-08-18T16:48:12.0000000Z,2013-09-28T22:40:50.0000000Z,YUNBI,YUNBI,https://yunbi.com/
76,2018-03-31,2018-03-31T23:17:38.2263029Z,2017-08-29T15:47:11.5174742Z,2018-03-31T23:11:50.4992101Z,2017-08-29T15:47:11.5174742Z,2017-08-26,2,57724.0,2018-03-31T21:00:53.0000000Z,2017-08-26T12:22:43.0000000Z,BITKONAN,BitKonan,https://bitkonan.com/
77,2018-04-01,2018-04-01T01:17:57.3650000Z,2018-01-24T00:21:52.7701638Z,2018-04-01T01:18:19.6960000Z,2018-01-24T00:21:52.7701638Z,2013-07-15,1,21655.0,2018-02-26T14:50:15.0000000Z,2013-07-15T20:40:11.0000000Z,FYBSE,FYB-SE,https://www.fybse.se/
