,price_close,price_open,price_high,price_low,time_close,time_open,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
1019,302.5,301.91,302.5,301.9,2017-10-12T00:00:00.0000000Z,2017-10-11T23:00:00.0000000Z,220,266.79482409,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1020,302.47,302.49,302.51,302.25,2017-10-12T01:00:00.0000000Z,2017-10-12T00:00:00.0000000Z,182,826.16297352,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1021,303.9,302.46,304.0,302.46,2017-10-12T02:00:00.0000000Z,2017-10-12T01:00:00.0000000Z,423,1207.69364381,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1022,305.12,303.72,305.12,303.68,2017-10-12T03:00:00.0000000Z,2017-10-12T02:00:00.0000000Z,612,2614.97994624,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1023,305.97,305.11,305.99,304.93,2017-10-12T04:00:00.0000000Z,2017-10-12T03:00:00.0000000Z,422,1235.84730252,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1024,307.25,305.98,307.27,305.98,2017-10-12T05:00:00.0000000Z,2017-10-12T04:00:00.0000000Z,611,849.93382817,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1025,306.7,307.25,307.25,306.69,2017-10-12T06:00:00.0000000Z,2017-10-12T05:00:00.0000000Z,215,813.84289417,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1026,305.53,306.69,306.7,305.32,2017-10-12T07:00:00.0000000Z,2017-10-12T06:00:00.0000000Z,229,591.72285375,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1027,303.5,305.54,305.67,303.5,2017-10-12T08:00:00.0000000Z,2017-10-12T07:00:00.0000000Z,394,1671.13049953,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1028,304.59,303.36,305.67,302.0,2017-10-12T09:00:00.0000000Z,2017-10-12T08:00:00.0000000Z,451,1454.00611354,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1029,305.99,304.58,306.0,304.5,2017-10-12T10:00:00.0000000Z,2017-10-12T09:00:00.0000000Z,193,653.15112683,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1030,305.74,305.96,306.68,305.7,2017-10-12T11:00:00.0000000Z,2017-10-12T10:00:00.0000000Z,145,605.00416039,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1031,304.45,305.73,305.82,303.25,2017-10-12T12:00:00.0000000Z,2017-10-12T11:00:00.0000000Z,201,1126.3352567,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1032,306.28,304.95,307.08,304.95,2017-10-12T13:00:00.0000000Z,2017-10-12T12:00:00.0000000Z,247,659.19395343,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1033,305.73,306.28,306.59,305.72,2017-10-12T14:00:00.0000000Z,2017-10-12T13:00:00.0000000Z,188,525.90430515,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1034,305.21,305.48,305.78,304.82,2017-10-12T15:00:00.0000000Z,2017-10-12T14:00:00.0000000Z,101,353.21780276,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1035,306.4,305.21,306.4,304.87,2017-10-12T16:00:00.0000000Z,2017-10-12T15:00:00.0000000Z,296,1431.05149688,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1036,302.21,306.4,306.4,301.71,2017-10-12T17:00:00.0000000Z,2017-10-12T16:00:00.0000000Z,684,2610.01651222,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
